"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"112","A0MZ66","SHOT1_HUMAN","SHTN1",NA,8563490,6248140,7390700,5153980,9723380,10463600,8377760,7137520,8088860,7499950,7103890,6801720,8766740,7798110,8005320,7372230,7767230,4623790,4716350,12804500,13450000,13197800,11355200,8245070,7065320,10512700,10764200
"113","A0PG75","PLS5_HUMAN","PLSCR5",NA,NA,NA,638125,523888,526149,774657,NA,NA,516232,NA,982674,NA,748362,NA,NA,1164520,993785,701554,NA,NA,NA,1119560,870843,NA,744542,859590,782527
"114","A0PJE2","DHR12_HUMAN","DHRS12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","A0PJK1","SC5AA_HUMAN","SLC5A10",NA,488989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346445,NA,867442,NA,NA,385647,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","A0PJW6","TM223_HUMAN","TMEM223",NA,8738900,9915770,9717920,11211300,13523700,9914510,9671030,11202700,12764700,10469100,7992720,9639340,11190800,9285750,11599700,10585600,10422400,12559500,12300500,9767860,10039700,10816700,9653650,8815470,10839900,10100000,11575300
"117","A0PJX2","TLDC2_HUMAN","TLDC2",NA,NA,183564,NA,NA,384093,211437,190466,NA,NA,NA,184535,NA,101364,NA,NA,NA,NA,110732,124905,379022,NA,NA,NA,NA,NA,175612,NA
"118","A0PJX8","TMM82_HUMAN","TMEM82",NA,NA,NA,3982530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","A0PJZ0","A20A5_HUMAN","ANKRD20A5P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A0PK00","T120B_HUMAN","TMEM120B",NA,NA,NA,1488810,2230440,2091520,NA,NA,NA,1593150,2371880,NA,NA,3379720,2979550,2974530,2716380,2888820,1853670,2778450,NA,3507610,NA,2242150,NA,2582610,2178950,2403580
"121","A1A519","F170A_HUMAN","FAM170A",NA,NA,NA,NA,NA,NA,NA,NA,NA,102282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","A1A5B4","ANO9_HUMAN","ANO9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2506760,NA,NA,NA,NA,2396570,2276060,3676400,NA,NA,3802550,NA,3271240,NA,NA
"123","A1A5D9","BICL2_HUMAN","BICDL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","A1KXE4","F168B_HUMAN","FAM168B",NA,NA,NA,NA,NA,249535,NA,NA,NA,1138670,247938,NA,NA,251982,NA,NA,NA,NA,NA,218259,NA,606602,204165,NA,NA,NA,186506,245060
"125","A1L020","MEX3A_HUMAN","MEX3A",NA,NA,NA,NA,NA,1022200,NA,NA,NA,1184410,NA,NA,NA,1234750,1466950,1845620,1072050,1437010,1461930,1242050,1060460,934587,1175730,757918,504990,1367920,512835,1080500
"126","A1L0T0","HACL2_HUMAN","ILVBL",NA,16418700,18080900,17145400,22551200,11037900,13291600,17123700,17896400,13653700,15346800,16918300,17995300,22282700,18855600,21633200,19178200,19745300,19171000,18910700,11631900,11355700,11817700,11924200,13048300,8292850,12506500,12686500
"127","A1L157","TSN11_HUMAN","TSPAN11",NA,NA,12326700,NA,NA,NA,NA,NA,NA,13173400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12688800,NA,NA,13539700,13075200,NA,NA,16158300
"128","A1L162","ERIC2_HUMAN","ERICH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046990
"129","A1L167","U2QL1_HUMAN","UBE2QL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291531,NA,206782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","A1L188","NDUF8_HUMAN","NDUFAF8",NA,1494740,1941670,1911680,1563350,922626,998217,1799370,1997370,1473610,1176550,2221340,2534830,1713580,1443140,1955020,1655610,1049420,1373540,1012620,1083050,NA,NA,1443520,1413010,1345820,869445,NA
"131","A1L390","PKHG3_HUMAN","PLEKHG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671500,NA,1367890,808960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","A1L3X4","MT1DP_HUMAN","MT1DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204156,NA,NA,263554,NA,321006,371746,NA,NA,NA,NA,NA,NA,NA,NA
"133","A1L453","PRS38_HUMAN","PRSS38",NA,NA,NA,313390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","A1L4L8","PL8L1_HUMAN","PLAC8L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075160,NA,NA,NA,NA,NA,883211,NA,NA,939406,NA,NA,NA
"135","A1L4Q6","YK033_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6736170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","A1X283","SPD2B_HUMAN","SH3PXD2B",NA,NA,NA,NA,NA,6261970,3869510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5734680,5769700,6020980,6319460,5622110,5171280,3817270,3693750
"137","A1XBS5","CBAR1_HUMAN","CIBAR1",NA,NA,NA,NA,NA,1381430,972085,NA,NA,NA,NA,NA,NA,NA,719437,766573,747665,779175,NA,NA,NA,1539400,1402080,NA,NA,NA,1211960,NA
"138","A2A288","ZC12D_HUMAN","ZC3H12D",NA,5295760,4870760,4240200,4162170,3262900,3058690,5122900,3918350,5068860,5503720,4475870,5270540,5217220,3833020,4498600,4629470,5331650,5218090,4208900,2479350,2378000,2551760,3146860,2540730,3336810,2903090,3043370
"139","A2A368","MAGBG_HUMAN","MAGEB16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","A2A3N6","PIPSL_HUMAN","PIPSL",NA,NA,NA,NA,NA,6996040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3577180,NA,NA,NA,NA,3799020
"141","A2CJ06","DYTN_HUMAN","DYTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","A2JGV3","TARP_HUMAN","TRGC1",NA,NA,NA,NA,1022130,NA,NA,NA,NA,NA,NA,NA,NA,NA,403945,623388,NA,NA,840326,623892,NA,NA,NA,NA,NA,NA,NA,NA
"143","A2RRP1","NBAS_HUMAN","NBAS",NA,8742510,10185100,10410600,8863070,11986800,9216880,9895580,10269500,9327380,9514410,10109100,10627500,8768410,8536210,8963660,9665330,8538450,8800260,8683730,10981400,10536300,9891140,11014800,12911600,13445900,9155550,8797340
"144","A2RTX5","SYTC2_HUMAN","TARS3",NA,3330610,2388980,2860140,2261700,3592560,2622910,3678000,2507600,3009680,4612910,3273890,3455300,2809280,2214010,3213730,2653500,2614940,2570000,2411230,3366210,3786150,3814820,2457590,3391430,4415310,2391370,3589980
"145","A2RU48","SMCO3_HUMAN","SMCO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,854936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","A2RU54","HMX2_HUMAN","HMX2",NA,NA,NA,NA,3429150,NA,NA,NA,NA,NA,NA,NA,NA,2985250,3409300,NA,3249710,2457080,3330470,3164850,NA,NA,NA,NA,NA,NA,NA,NA
"147","A2RU67","F234B_HUMAN","FAM234B",NA,1485490,1077230,1090650,1582650,1323640,1338740,1313680,399103,1396690,1763320,1044700,1263120,1014090,1248790,1211420,NA,NA,371653,1462170,1260990,NA,1199710,1206010,1546810,NA,1450970,NA
"148","A2RUQ5","CQ102_HUMAN","TMEM132E-DT",NA,NA,NA,NA,829715,NA,NA,NA,NA,NA,NA,NA,NA,NA,523311,NA,676890,NA,NA,618989,NA,NA,NA,648919,NA,NA,466056,NA
"149","A2RUS2","DEND3_HUMAN","DENND3",NA,25244200,12609100,19005200,35001700,35811000,31146000,24074200,16109500,21928200,17609500,12870000,13027900,37110000,38219700,35551200,37724600,37733300,37553200,37247600,28637700,29310900,32451100,25259400,26733800,32546700,27906700,30373400
"150","A2RUU4","COLL1_HUMAN","CLPSL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","A2VDF0","FUCM_HUMAN","FUOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","A2VDJ0","T131L_HUMAN","TMEM131L",NA,1425080,1261050,1096800,2016300,1373050,1573490,1440500,651807,1659710,1078060,1146380,1218440,1673160,1526600,1828940,1960110,1573520,2133760,1880690,1967210,1637640,1573590,1458240,1314180,1590930,1848230,1867540
"153","A3KFT3","OR2M5_HUMAN","OR2M5",NA,NA,NA,NA,228614,NA,NA,NA,NA,NA,NA,141521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","A3KMH1","VWA8_HUMAN","VWA8",NA,8183600,11180100,8194980,3024120,3704320,2837260,8500640,9721990,7733570,9755390,9490430,9963500,2508990,2370370,1557910,2363670,2219360,2688230,2668430,2134590,2861340,2671480,2301270,2304280,2440890,2517930,2495340
"155","A3KN83","SBNO1_HUMAN","SBNO1",NA,19132300,21359100,20060100,24050300,17013100,19262700,19715300,20210900,19934600,19486100,20105200,19962100,22278900,23431600,21706600,21927800,23041200,26009200,25940500,18152800,17245500,16360400,15337100,17025500,18998600,18814300,18869600
"156","A3QJZ7","PRA27_HUMAN","PRAMEF27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560330,NA,NA,NA,NA,NA
"157","A4D161","F221A_HUMAN","FAM221A",NA,NA,593943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","A4D1E9","GTPBA_HUMAN","GTPBP10",NA,12344500,16152800,16350800,18496500,11850500,10500800,13015000,16613900,16460000,15516900,14572200,13265300,17368600,16732900,12399900,13358600,13137600,18036100,20530900,8379220,10793500,10489600,9720910,7949780,9470540,10625200,10425200
"159","A4D1P6","WDR91_HUMAN","WDR91",NA,22453200,18219900,13026500,16422900,17906500,15900700,19021100,16230700,14401600,15113900,17525800,17682500,20589700,20017000,19798400,18960900,18115000,14606300,14328300,12071400,11507600,13890600,10495300,17512600,13541600,14484500,13312400
"160","A4D1S0","KLRG2_HUMAN","KLRG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2914880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","A4D1T9","PRS37_HUMAN","PRSS37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2978100,NA,NA,NA,NA,NA
"162","A4D1U4","DEN11_HUMAN","DENND11",NA,1478190,1421140,2084690,2253200,3085000,3146290,NA,2020940,892107,1965820,2088710,1617390,NA,1562870,2021550,1664050,1993110,2264570,2209330,2818460,2268540,2794980,2950290,3527900,3212110,2393700,2143710
"163","A4D1Z8","GRIFN_HUMAN","GRIFIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873356,NA,NA,NA,NA
"164","A4D2G3","O2A25_HUMAN","OR2A25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155295,NA,NA,NA,NA,NA,NA,NA,NA
"165","A4FU01","MTMRB_HUMAN","MTMR11",NA,37523100,43986300,39653300,50079400,69408600,55692100,49388800,44747900,37527300,33696100,45129300,47377900,50612300,49509600,44934300,47247300,43309300,48069300,50240500,56538400,75135500,44380700,74539700,57095600,62659200,52487700,49383200
"166","A5D6W6","FITM1_HUMAN","FITM1",NA,524333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","A5D8T8;Q6UXF7;Q8NCF0","CL18A_HUMAN;CL18B_HUMAN;CL18C_HUMAN","CLEC18A;CLEC18B;CLEC18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1036280,NA,1088910,744099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","A5D8V6","VP37C_HUMAN","VPS37C",NA,5318820,4016630,4489760,4712130,4358130,4328640,4947170,5008290,4122710,3422700,5356860,4334130,4733130,5295850,4204810,5336340,5936830,4964560,4336540,4030610,3059670,4400640,3791150,4683220,4404270,4655090,4097770
"169","A5LHX3","PSB11_HUMAN","PSMB11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343090,NA
"170","A5PLL7","PDES1_HUMAN","PEDS1",NA,759193,491094,660715,1189500,953649,1286010,NA,NA,604017,NA,NA,NA,1516410,931384,968075,1005250,1410580,1375580,1440130,NA,844735,NA,NA,812294,NA,NA,NA
"171","A5PLN9","TPC13_HUMAN","TRAPPC13",NA,13603600,12552600,10684000,11750400,15106900,13405300,15074800,13425400,16518000,14143000,14014800,14757800,15648800,12841100,13441000,12318200,12958900,13025000,14636200,16128500,12503100,14510200,14744700,10651600,16002900,14271300,16138700
"172","A5YKK6","CNOT1_HUMAN","CNOT1",NA,35424900,34804100,31470000,40502000,29313400,30617400,35464600,35468300,33061500,32650200,31094600,32352800,38232700,34401100,34063100,35755000,37239400,41330700,41246900,28719600,27025900,26780600,27637200,29058600,29598600,27556800,26594800
"173","A6BM72","MEG11_HUMAN","MEGF11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1728130,NA,NA,NA,NA,NA,NA
"174","A6H8Y1","BDP1_HUMAN","BDP1",NA,377756,608421,647519,NA,302378,292532,456982,610195,528593,464249,531239,537267,237574,336823,332421,365423,373637,NA,305794,318995,NA,384162,286024,315219,240143,291184,381995
"175","A6H8Z2","F221B_HUMAN","FAM221B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1278880,NA,NA,1505190,NA,NA,NA,NA
"176","A6NC51","T150B_HUMAN","TMEM150B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4588380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","A6NC98","CC88B_HUMAN","CCDC88B",NA,5713640,3760280,3563830,6885700,8886760,8409960,5592930,4003110,5938740,3915140,3723430,3872340,9153680,7948370,8482600,9079500,7411950,6409680,5957400,7042260,7721660,7774090,5876090,7642260,8715800,7896550,7809080
"178","A6NCC3","GOG8O_HUMAN","GOLGA8O",NA,584819,NA,666356,NA,NA,NA,1490710,1567960,1698120,1530160,1506100,1596240,NA,774402,770630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","A6NCE7;Q9GZQ8","MLP3B_HUMAN;MP3B2_HUMAN","MAP1LC3B;MAP1LC3B2",NA,5839330,7429240,10198500,68665700,18313800,24846000,5321000,7031600,13284300,10327200,6818550,6533070,38765400,34110200,41301000,36427800,47592400,52607500,63711100,23261900,24571200,21456600,36887000,17448900,NA,18688800,20803700
"180","A6NCJ1","TKTI1_HUMAN","TEKTIP1",NA,NA,NA,161053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","A6NCS4","NKX26_HUMAN","NKX2-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61308.9,NA,NA,NA,NA,NA,NA,NA,NA
"182","A6ND01","JUNO_HUMAN","IZUMO1R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","A6ND48","O14I1_HUMAN","OR14I1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202652,NA,322842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","A6NDD5","SYN1L_HUMAN","SYNDIG1L",NA,NA,1617210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","A6NDG6","PGP_HUMAN","PGP",NA,49301600,51588200,53904700,69106000,32668300,49879300,53217500,57801100,49768900,47273700,47189300,49980900,81782500,74956200,76615700,77144200,77053800,65038300,64826100,47009100,44957800,45290500,43245700,43544400,34680600,51305600,45848000
"186","A6NDH6","O5H15_HUMAN","OR5H15",NA,NA,NA,NA,NA,NA,475080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","A6NDL7","MT21E_HUMAN","METTL21EP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","A6NDP7","MADL2_HUMAN","MYADML2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1355340,NA,NA,NA,976022,NA,NA,NA,NA,849364,NA,NA,NA,NA,934192,982176,NA,NA,NA
"189","A6NDR6","ME3L1_HUMAN","MEIS3P1",NA,3819830,NA,3207110,NA,NA,NA,NA,NA,4070250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3305970,NA,NA,NA,NA,NA,NA
"190","A6NDU8","RIMC1_HUMAN","RIMOC1",NA,15353800,14679700,14332900,11345900,9589060,10582700,15792300,13086500,16866100,13070500,11576700,12871200,14788400,14677200,11405000,12426000,12970700,11655000,11239300,8820920,11247300,11061000,8949290,11783100,7552180,11001800,11241200
"191","A6NDZ8;A6NE82","MB3L3_HUMAN;MB3L4_HUMAN","MBD3L3;MBD3L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","A6NE02","BTBDH_HUMAN","BTBD17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1823510,5670200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","A6NED2","RCCD1_HUMAN","RCCD1",NA,5591100,5305260,4977400,4296580,6192240,5694200,4482890,6810250,6922170,8373760,4464150,5613680,4988590,4399270,5158120,5049010,5586190,5484230,5526910,6556810,6107760,6688730,6590580,4948640,6974590,6501180,6191840
"194","A6NEL2","SWAHB_HUMAN","SOWAHB",NA,3294750,1299990,NA,NA,1188720,NA,2180940,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","A6NEQ0","RBY1E_HUMAN","RBMY1E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","A6NET4","OR5K3_HUMAN","OR5K3",NA,1828580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1347990,1185810,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","A6NEY8","PRXD1_HUMAN","PRORSD1P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48617500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","A6NF36","CC182_HUMAN","CCDC182",NA,3945480,NA,4707180,4470150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","A6NF83","NUPR2_HUMAN","NUPR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946149,NA,NA,NA,NA,471721,1121060,NA
"200","A6NFA0","S31F3_HUMAN","SPATA31F3",NA,NA,NA,1800990,2086650,NA,1700090,1989260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","A6NFD8","HELT_HUMAN","HELT",NA,NA,343616,101635,NA,NA,NA,121815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","A6NFI3","ZN316_HUMAN","ZNF316",NA,4345400,3712300,2891090,4212030,4828750,4247030,4026850,3032550,4111580,3277910,4121180,4404500,5697800,5475570,4573960,5012840,5797210,5416440,5281740,5144460,4379060,4978680,4216330,4677090,5138610,4425990,4902960
"203","A6NFN3","RFOX3_HUMAN","RBFOX3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","A6NFT4","CFA73_HUMAN","CFAP73",NA,NA,NA,NA,3445630,NA,NA,NA,NA,NA,NA,NA,NA,NA,2940740,2543310,1756490,3970480,4530790,NA,NA,NA,2474240,2052340,NA,NA,NA,2204550
"205","A6NFX1","MFS2B_HUMAN","MFSD2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","A6NFY7","SDHF1_HUMAN","SDHAF1",NA,1078130,1410180,1116740,1458120,NA,1218090,2126590,1854340,NA,NA,1263630,NA,1073570,1263490,NA,1592300,1081290,1686510,1269150,928268,NA,NA,770049,NA,953600,NA,NA
"207","A6NGC4","TLCD2_HUMAN","TLCD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","A6NGE4","DC8L1_HUMAN","DCAF8L1",NA,872085,NA,NA,NA,835458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","A6NGN9","IGLO5_HUMAN","IGLON5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73578.4,NA,NA,NA
"210","A6NH00","OR2T8_HUMAN","OR2T8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1788840,NA,NA,NA,NA,NA,NA,NA,NA
"211","A6NH11","GLTD2_HUMAN","GLTPD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,447919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","A6NH13","DAS1_HUMAN","DNAJC9-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524835,NA,NA,NA,NA
"213","A6NH52","TV23A_HUMAN","TVP23A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192530,NA,NA,NA,NA,NA,NA,NA,NA,NA,136155,NA,NA,NA,NA,122569,158157,NA
"214","A6NHA9","O4C46_HUMAN","OR4C46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643210,NA,NA,NA,NA,NA
"215","A6NHQ2","FBLL1_HUMAN","FBLL1",NA,NA,NA,NA,NA,249039000,NA,NA,NA,329006000,330389000,NA,NA,223789000,NA,NA,153877000,216944000,NA,283993000,NA,304923000,291970000,NA,199282000,NA,NA,224360000
"216","A6NHQ4","EPOP_HUMAN","EPOP",NA,NA,971204,1546750,NA,NA,NA,NA,1283500,747535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","A6NHR8","FA47D_HUMAN","FAM47DP",NA,NA,NA,NA,NA,NA,9128230,NA,NA,5747830,NA,NA,NA,NA,NA,NA,NA,8244360,NA,7174370,7948660,NA,NA,4910240,NA,5879940,5048960,NA
"218","A6NHR9","SMHD1_HUMAN","SMCHD1",NA,23429300,25274800,22984900,14294800,20866700,23904600,27545100,22150300,20390900,26601700,24925200,24515600,22393200,20705600,18745900,19069400,22349200,21961100,19665200,24552000,24595200,24474300,26656500,21688800,20800400,27601800,28253400
"219","A6NHT5","HMX3_HUMAN","HMX3",NA,NA,1643980,14564.4,7996310,218514,NA,NA,31680.6,NA,332361,3144050,3590720,5364430,4702200,5453970,5204190,6184240,4792390,6163080,NA,78641.7,NA,NA,880912,NA,NA,712352
"220","A6NHX0","CAST2_HUMAN","CASTOR2",NA,NA,463380,NA,918085,305839,526440,319212,NA,NA,NA,NA,NA,1161020,646154,1256880,1292440,611137,1573230,1360840,NA,2658830,NA,NA,719821,NA,3451370,NA
"221","A6NI03","TR64B_HUMAN","TRIM64B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350706,NA,NA,NA,NA,NA,NA,NA,NA
"222","A6NI73","LIRA5_HUMAN","LILRA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241625,NA,NA,NA,983420,362593,NA,NA,NA,NA,705087,NA,NA,NA,NA
"223","A6NI79","CCD69_HUMAN","CCDC69",NA,257337,224111,130366,NA,425528,164221,150160,120659,492234,NA,111803,245788,NA,NA,NA,NA,174034,257203,NA,357359,NA,NA,NA,294045,342359,273997,266144
"224","A6NIH7","U119B_HUMAN","UNC119B",NA,3814110,3832340,3832940,4846930,4817200,5446490,3955110,3840040,4358990,4724700,3525700,3549650,7016770,5682820,6339490,6563140,5570740,5186960,5595050,4529090,5331120,5243810,5417280,4265000,4398160,5877370,6157090
